,cluster no,tweet id,tweet
52,52,6,"Upscale hotel complex in Kenya's capital is under attack, with a blast and heavy gunfire, witnesses and police say,… https://t.co/cSw7ksMcUW"
53,53,2,Scottish First Minister Nicola Sturgeon refers herself to standards panel over handling of Alex Salmond allegations https://t.co/NQZQigQRBf
54,54,1,"Family of London teenager Jayden Moodie say he was not linked to gangs and was ""murdered in cold blood"" https://t.co/P9AVQUNLu2"
55,55,1,"RT @BBCSport: CHAMPION!

Naomi Osaka wins the Australian Open women's singles title for the first time with a dramatic victory over Petra K…"
56,56,1,Man convicted of killing date in speedboat crash in UK hands himself in to police in Georgia after months on run https://t.co/js5whXb5Eq
57,57,2,"Suspect being sought for stabbing of a man on train in Surrey has been arrested, British Transport Police say https://t.co/MVSKjAAAtV"
58,58,0,"Darren Pencille, 35, is charged with murder of Lee Pomeroy, 51, stabbed to death on a train in front of his son https://t.co/g1mW3DutsS"
59,59,0,"Iranian and Briton held in Manchester suspected of arranging ""movement of migrants"" across Channel - Crime Agency https://t.co/jaExnzwWUB"
60,60,3,"At least 168 people have died and more than 700 are injured in Indonesia tsunami, and officials expect this to rise… https://t.co/sGUU0syjlw"
61,61,0,"RT @BBCSport: FT: Wales 25-7 Ireland

That’s it! Wales are Six Nations Grand Slam champions!

Well played, @WelshRugbyUnion

Reaction 👉 htt…"
62,62,2,Six killed and 100 wounded in night-club stampede near Ancona on the east coast of Italy https://t.co/VsGaVB7JR7
63,63,2,"Virgin Atlantic pilots to strike from 22 December to Christmas Day in dispute over union recognition, union says https://t.co/EsB3sjxzqR"
64,64,2,"Leicester City helicopter crash pilot lost control after his pedals disconnected from tail rotor blades, report says https://t.co/qbXmG3D6sR"
65,65,3,Los Angeles residents saw what some thaught to be a meteor which turned out to be wingsuit jumpers performing for a… https://t.co/XF8ROxAMC4
66,66,2,Police searching for couple missing after car washed up on beach in Scotland find two bodies https://t.co/cbjZeJSnda
67,67,0,"British academic Matthew Hedges praises ""brave and strong"" wife Daniela as he arrives back in UK after being pardon… https://t.co/2c4uOXVqI4"
68,68,2,"Nissan sacks its chairman Carlos Ghosn, arrested in Japan last week for financial misconduct https://t.co/LLaIp0KvPQ"
69,69,0,"Israeli PM Benjamin Netanyahu thanks US President after he tweeted ""it is time for the United States to fully recog… https://t.co/l2CRGcMaHV"
70,70,3,"The Yemeni mother of a toddler dying in the US arrives in California to see him, after the travel ban is relaxed https://t.co/gpzH6NMHfg"
71,71,1,"Democrats say Trump slammed the table and walked out of shutdown talks, while president calls meeting waste of time https://t.co/bVAeLkSRY6"
72,72,4,A Russian tourist has been arrested for trying to smuggle a drugged orangutan out of the Indonesian resort island o… https://t.co/mcMWE6B9su
73,73,0,"DR Congo court rejects opposition appeal against presidential election result, upholding victory of Felix Tshisekedi https://t.co/QdbBI491sy"
74,74,0,"President Trump demands funding for a ""steel barrier"" along the border with Mexico to halt a ""crisis"" https://t.co/1cmXQeIsUX"
75,75,2,#PrimeMinister #ImranKhan said that Asia’s largest #oil and #gas reserves may soon be found in #ArabianSea near Kar… https://t.co/r0YMuAgWDr
76,76,3,"Weather experts have warned that 2019 is expected to be the hottest year since 2015
#ARYNews #Karachi #Weather 
https://t.co/BmX0DwOUvq"
77,77,1,3-day #AntiPolio campaign begins in 25 districts of #KhyberPakhtunkhwa and 21 districts of #Balochistan today… https://t.co/sZLn8wBnLs
78,78,2,#PakistanNavy released a new patriotic song titled “Yaqeen-e-Kamil” derived from Quranic verse “Hasbuna Allahu Wa N… https://t.co/fDBvcWFkDm
79,79,2,Khyber Pakhtunkhwa Chief Minister #MahmoodKhan directed the inspection team for inquiry into delay in construction… https://t.co/gU11dPTaq4
80,80,2,"The reception was attended by a large number of guests including members of Pakistani community, diplomatic corps,… https://t.co/lwHjqBpmYS"
81,81,2,"The Commissioner Karachi, officers of the armed forces and other dignitaries arrived at the mausoleum and paid resp… https://t.co/gd1nliGCJM"
