id,created_at,text,user,retweet_count
1108403869904760833,Wed Mar 20 16:24:10 +0000 2019,"Short extension to Brexit ""possible"" if MPs approve UK PM Theresa May's deal next week - EU's Donald Tusk says… https://t.co/aQJKGQj4Qq",BBCBreaking,312
1108257496534261760,Wed Mar 20 06:42:32 +0000 2019,"Theresa May ""won't be asking for long extension"" to Brexit in letter to EU, says No 10 https://t.co/GXmfIrRjTy",BBCBreaking,359
1107995213446946816,Tue Mar 19 13:20:19 +0000 2019,"Leader of Kazakhstan since independence from Soviet Union in 1991, Nursultan Nazarbayev, announces his resignation https://t.co/ksE89gZC4z",BBCBreaking,831
1107936461154893825,Tue Mar 19 09:26:51 +0000 2019,"UK unemployment fell by 35,000 between November and January to 1.34 million, figures show https://t.co/pajlfFyV6x",BBCBreaking,418
1107700484041773058,Mon Mar 18 17:49:10 +0000 2019,Dutch police arrest wanted man following a shooting in the city of Utrecht which left three people dead https://t.co/8OedeSbMlE,BBCBreaking,534
1107645192344166400,Mon Mar 18 14:09:27 +0000 2019,"Three people killed in shooting in Dutch city of Utrecht, mayor says - police hunt suspect

https://t.co/vXELPs9nXY",BBCBreaking,1042
1107590162182299650,Mon Mar 18 10:30:47 +0000 2019,"Man fires on passengers in tram in Dutch city of Utrecht, several people reported injured, eyewitnesses say https://t.co/W58KptX5ZZ",BBCBreaking,3174
1107497692396175360,Mon Mar 18 04:23:20 +0000 2019,PM Jacinda Ardern says New Zealand's cabinet backs gun law changes 'in principle' after Christchurch shootings https://t.co/I1RH7KU5iC,BBCBreaking,565
1107338180863422464,Sun Mar 17 17:49:30 +0000 2019,"British counter-terrorism police are investigating a non-fatal stabbing of a 19-year old in Surrey, saying “it has… https://t.co/IVtUnqBM9o",BBCBreaking,726
1106958378109145088,Sat Mar 16 16:40:18 +0000 2019,"RT @BBCSport: FT: Wales 25-7 Ireland

That’s it! Wales are Six Nations Grand Slam champions!

Well played, @WelshRugbyUnion

Reaction 👉 htt…",BBCBreaking,518
1106580418621591553,Fri Mar 15 15:38:25 +0000 2019,"RT @BBCSport: Al Boum Photo wins the Cheltenham Gold Cup.

📻 @5liveSport

Reaction 👉 https://t.co/i7jbXXpFqO #bbcracing https://t.co/anA95h…",BBCBreaking,82
1106443493508042753,Fri Mar 15 06:34:20 +0000 2019,"Forty people dead in New Zealand mosque attacks, PM Jacinda Ardern confirms https://t.co/1tVsfneMG6",BBCBreaking,3265
1106414676571754496,Fri Mar 15 04:39:49 +0000 2019,"New Zealand Police say four people are in custody after attacks at two mosques led to ""multiple fatalities"" https://t.co/xphlHvnuj4",BBCBreaking,828
1106367812615004160,Fri Mar 15 01:33:36 +0000 2019,"Gunshots heard near mosque in Christchurch, New Zealand, local media report, as police warn of a ""critical incident"" https://t.co/fZo3nWMEud",BBCBreaking,907
1106262149930934277,Thu Mar 14 18:33:44 +0000 2019,"A public vote would be a ""realistic option to break the deadlock"", says Labour leader Jeremy Corbyn as UK MPs vote… https://t.co/j6poPdEwYm",BBCBreaking,490
1106259752248635398,Thu Mar 14 18:24:12 +0000 2019,"UK MPs vote by 412 to 202 to ask the EU for #Brexit to be delayed beyond 29 March

Follow live updates:… https://t.co/rKsS0RmXK7",BBCBreaking,1620
1106253253992464385,Thu Mar 14 17:58:23 +0000 2019,"RT @BBCPolitics: MPs reject amendment to take control of #Brexit process and force a series of indicative votes on the way forward, by 314…",BBCBreaking,188
1106149042860539904,Thu Mar 14 11:04:17 +0000 2019,Former British soldier faces murder charges over two Bloody Sunday killings in Londonderry in 1972 https://t.co/PMH6ULcNEq,BBCBreaking,543
1105927405586341891,Wed Mar 13 20:23:35 +0000 2019,"Labour leader Jeremy Corbyn says ""Parliament must now take control"" of the #Brexit process, after UK MPs vote to re… https://t.co/sfDlmi0b8H",BBCBreaking,314
1105922615481384961,Wed Mar 13 20:04:33 +0000 2019,"UK PM Theresa May says #Brexit options ""are the same as they always have been"", warning ""no Brexit at all"" would da… https://t.co/MTHUEKZdz2",BBCBreaking,356
1105921311346438144,Wed Mar 13 19:59:22 +0000 2019,"UK MPs support amended government motion which rejects no-deal #Brexit at any time by 321 to 278

https://t.co/fiA9J8O12Z",BBCBreaking,346
