id,created_at,text,user,retweet_count
1129884775601324036,Sat May 18 23:01:37 +0000 2019,The Netherlands' Duncan Laurence wins the 2019 Eurovision Song Contest with his song Arcade https://t.co/J64jDGhJoj,BBCBreaking,735
1129810053479976960,Sat May 18 18:04:42 +0000 2019,Austrian Chancellor Sebastian Kurz calls for snap election after his deputy resigns over corruption scandal https://t.co/O1bxb3EDLX,BBCBreaking,300
1129808025949220865,Sat May 18 17:56:38 +0000 2019,"Manchester City are first men's team to win the English domestic treble, after thrashing Watford 6-0 in FA Cup final https://t.co/9O3VZo28tq",BBCBreaking,240
1129806487574990855,Sat May 18 17:50:32 +0000 2019,"RT @BBCSport: FT: Man City 6-0 Watford

Stunning by Manchester City.

They have won the FA Cup and completed the domestic treble.

You have…",BBCBreaking,411
1129750270588719104,Sat May 18 14:07:08 +0000 2019,"""I said I was going to burn for you and I am, every single day"" - Australian PM Scott Morrison on shock election win https://t.co/RpB1VgX4sR",BBCBreaking,213
1129743683245551618,Sat May 18 13:40:58 +0000 2019,"Bill Shorten, leader of Australia's centre-left opposition Labor party, concedes after unexpected election defeat https://t.co/gof1JGezqo",BBCBreaking,174
1129696910732865536,Sat May 18 10:35:06 +0000 2019,"Austria's Vice-Chancellor Heinz-Christian Strache resigns, day after a video mired him in corruption scandal https://t.co/cXJpNO6F50",BBCBreaking,657
1129323253472931840,Fri May 17 09:50:20 +0000 2019,"#Brexit talks between Labour and the Conservatives end without agreement, with Jeremy Corbyn saying negotiations ha… https://t.co/KMtpdlDWGd",BBCBreaking,407
1129258835301019648,Fri May 17 05:34:21 +0000 2019,Taiwan's parliament becomes the first in Asia to legalise same-sex marriage https://t.co/1owGYn8MjY,BBCBreaking,9602
1129097613599498240,Thu May 16 18:53:43 +0000 2019,"Three Britons and a South African killed after small aircraft crashes near Dubai airport, authorities say https://t.co/RP4WXt4j7b",BBCBreaking,208
1128962684618182656,Thu May 16 09:57:33 +0000 2019,"Bob Hawke, Australia's charismatic Labor prime minister for much of the 1980s, dies aged 89 https://t.co/3KlTguiQ92",BBCBreaking,291
1128764639465148422,Wed May 15 20:50:36 +0000 2019,"President Trump declares a national emergency to protect US computer networks from ""foreign adversaries"" https://t.co/UQfJmRls5x",BBCBreaking,1036
1128586215731736576,Wed May 15 09:01:36 +0000 2019,ITV cancel production of Jeremy Kyle show following death of guest https://t.co/aGTFCyVexO,BBCBreaking,862
1127935384363720704,Mon May 13 13:55:26 +0000 2019,"Obituary: Doris Day, the all-American girl who became one of the world's biggest stars

https://t.co/YZVzwjFwfJ https://t.co/fKaGbjkZYA",BBCBreaking,685
1127922566532935680,Mon May 13 13:04:30 +0000 2019,"Hollywood star Doris Day, whose films made her one of the biggest female stars of all time, has died aged 97 https://t.co/JBhWGTteoe",BBCBreaking,2360
1127864981100408832,Mon May 13 09:15:40 +0000 2019,Swedish prosecutors reopen inquiry into a rape allegation made against Wikileaks co-founder Julian Assange https://t.co/BNZlnj6BvQ,BBCBreaking,822
1127854641952305153,Mon May 13 08:34:35 +0000 2019,"RT @BBCSport: Brighton have sacked manager Chris Hughton.

https://t.co/iiqYGnfauw #BHAFC https://t.co/5xqaEHRX7K",BBCBreaking,446
1127601826545721344,Sun May 12 15:49:59 +0000 2019,"RT @BBCSport: 🔵 MAN CITY ARE CHAMPIONS 🔵

The first Premier League side to win back-to-back titles since 2009.

What a team. What a season…",BBCBreaking,979
1127592100781076483,Sun May 12 15:11:21 +0000 2019,"Gunmen burn down church during Mass and kill six people, including priest, in Burkina Faso, reports say https://t.co/12AA5CRZ5h",BBCBreaking,1628
1127203450507468804,Sat May 11 13:26:59 +0000 2019,"At least three gunmen attack a five-star hotel in Gwadar in Pakistan's Balochistan province, officials say https://t.co/SH59MutX5x",BBCBreaking,851
1126807188561854465,Fri May 10 11:12:23 +0000 2019,"Four foreign hostages freed by French forces in West African country of Burkina Faso, French government says

https://t.co/xwn6OPk5w4",BBCBreaking,278
1126767356561092608,Fri May 10 08:34:06 +0000 2019,"The UK economy grew 0.5% in the first three months of 2019, official figures show. https://t.co/w9ffzgx2a7",BBCBreaking,277
1126604868754509824,Thu May 09 21:48:26 +0000 2019,"RT @BBCSport: GOAL!

Eden Hazard scores for Chelsea! 

Chelsea 4-3 Eintracht Frankfurt

CHELSEA ARE GOING TO THE FINAL!

Live: https://t.co…",BBCBreaking,403
1126592123325833216,Thu May 09 20:57:47 +0000 2019,"RT @BBCSport: FULL TIME: 

Valencia 2-4 Arsenal. (Agg 3-7). 
Aubameyang's hat-trick puts Arsenal in the final. 

Chelsea 1-1 Frankfurt. (Ag…",BBCBreaking,208
1126420012019875840,Thu May 09 09:33:53 +0000 2019,"Broadcaster Danny Baker fired from BBC Radio 5 live after tweeting ""royal baby"" image of chimpanzee https://t.co/DTjVW3r8T2",BBCBreaking,4051
1126231061078392833,Wed May 08 21:03:03 +0000 2019,"RT @BBCSport: FT: Ajax 2-3 Tottenham (3-3 agg) 

WHAT HAS JUST HAPPENED? 

Lucas Moura's second half hat-trick gives Spurs a remarkable, in…",BBCBreaking,1409
1126150656836947973,Wed May 08 15:43:34 +0000 2019,"Harry and Meghan name their baby son Archie Harrison Mountbatten-Windsor

https://t.co/RGfVNp0RLf #BabySussex https://t.co/wZusAzWfOj",BBCBreaking,2449
1126093099569008640,Wed May 08 11:54:51 +0000 2019,"“We’re just so thrilled to have our own little bundle of joy”

Prince Harry and Meghan, the Duke and Duchess of Sus… https://t.co/EmVDBeqMv5",BBCBreaking,4773
1126089599233744896,Wed May 08 11:40:56 +0000 2019,"Prince Harry and Meghan, the Duke and Duchess of Sussex, appear in public with their new baby son for the first tim… https://t.co/J9rb2Ob6LV",BBCBreaking,2128
1126008768360329221,Wed May 08 06:19:45 +0000 2019,"Pakistan confirms Asia Bibi, Christian woman who spent years on death row convicted of blasphemy, left for Canada https://t.co/oYfAMDSVJj",BBCBreaking,1784
1125992795712491520,Wed May 08 05:16:17 +0000 2019,"Iran pulls out of ""some commitments"" under international 2015 nuclear deal, a year after US abandoned accord https://t.co/iyLpQXEdNG",BBCBreaking,265
1125980070093496320,Wed May 08 04:25:43 +0000 2019,Explosion reported outside a major Sufi Muslim shrine in the Pakistani city of Lahore - local media. https://t.co/6HAMmswsfd,BBCBreaking,550
1125869403390844929,Tue May 07 21:05:58 +0000 2019,"RT @BBCSport: UNBELIEVABLE!!!

LIVERPOOL HAVE ACTUALLY DONE IT!

Liverpool 4-0 Barcelona (4-3 agg)

#LIVBAR reaction: https://t.co/JR8YU2Wr…",BBCBreaking,2694
1125746790706352129,Tue May 07 12:58:44 +0000 2019,British soldier killed by elephant in Malawi during anti-poaching operations https://t.co/lctC4vJwEw,BBCBreaking,290
1125599154904928256,Tue May 07 03:12:05 +0000 2019,Here's the first picture of newly-freed Reuters Myanmar journalists Wa Lone and Kyaw Soe Oo https://t.co/9jYoJ5WkrL https://t.co/E7jtDGYACo,BBCBreaking,586
1125595762447007744,Tue May 07 02:58:36 +0000 2019,Jailed Reuters journalists Wa Lone and Kyaw Soe Oo are freed in Myanmar after amnesty. https://t.co/jIUbQY3XVq,BBCBreaking,703
1125395541670682624,Mon May 06 13:43:00 +0000 2019,"It's a boy - a beaming Prince Harry says mum and baby ""doing incredibly well"" https://t.co/t0Xt0K0J3f",BBCBreaking,5590
1125384971550711810,Mon May 06 13:01:00 +0000 2019,"The Duchess of Sussex has gone into labour with her first child, Buckingham Palace says https://t.co/5dEtyRl29O",BBCBreaking,1862
1125072391170867200,Sun May 05 16:18:55 +0000 2019,"Russian plane makes emergency landing at Moscow airport after fire breaks out on board, state media report https://t.co/IVqpKumO5F",BBCBreaking,1268
1124085246318862336,Thu May 02 22:56:21 +0000 2019,"Actor Peter Mayhew, famous for playing Chewbacca in Star Wars, has died aged 74 https://t.co/cnvghq70Nq https://t.co/wfvTmkS3Yf",BBCBreaking,5995
1123891051343876097,Thu May 02 10:04:42 +0000 2019,"Fresh inquest into death of girl, 9, who had asthma attack thought to have been linked to pollution near London home https://t.co/r1gE6nCQiR",BBCBreaking,256
1123649990990204929,Wed May 01 18:06:48 +0000 2019,"""I strenuously deny that I was in any way involved in this leak"" from the National Security Council meeting

Gavin… https://t.co/UGycqI8D4m",BBCBreaking,251
1123644413102764032,Wed May 01 17:44:39 +0000 2019,"RT @BBCSport: Jockey Ruby Walsh has announced his retirement after riding joint favourite Kemboy to victory in the Punchestown Gold Cup.

M…",BBCBreaking,95
1123638489965318147,Wed May 01 17:21:06 +0000 2019,International Development Secretary Penny Mordaunt appointed UK Defence Secretary following sacking of Gavin Willia… https://t.co/8xnPb3Q2uD,BBCBreaking,274
1123635838523465729,Wed May 01 17:10:34 +0000 2019,"""It is therefore with great sadness that I have concluded that I can no longer have full confidence in you""

UK PM… https://t.co/n6h8sQ3k2Q",BBCBreaking,570
1123631969454186496,Wed May 01 16:55:12 +0000 2019,UK Defence Secretary Gavin Williamson sacked over Huawei leak https://t.co/O0yOlwgYmt,BBCBreaking,1439
1123538595246112768,Wed May 01 10:44:10 +0000 2019,Wikileaks co-founder Julian Assange sentenced to 50 weeks in jail for breaching bail conditions https://t.co/SkqLyQTOVW,BBCBreaking,619
1123530746407391235,Wed May 01 10:12:58 +0000 2019,Athlete Caster Semenya loses challenge against rules restricting testosterone levels in female runners https://t.co/DOk1jEi9PR,BBCBreaking,755
1123403642302795776,Wed May 01 01:47:54 +0000 2019,"Japan's Emperor Naruhito inherits the symbols of imperial power, a day after his father Akihito abdicated https://t.co/qPMFO36ezT",BBCBreaking,1000
1123202708264169473,Tue Apr 30 12:29:28 +0000 2019,"President Trump has been briefed on events in Venezuela, where army says it confronting group of ""military traitors"" https://t.co/OL7hwNqtIv",BBCBreaking,336
1123139638321975297,Tue Apr 30 08:18:51 +0000 2019,"Emperor Akihito gives abdication address, becoming first Japanese monarch to give up throne in two centuries https://t.co/0HzW1ez7DL",BBCBreaking,2331
